player_first_name,player_last_name,team_name,position,overall_rank,position_rank
,eagles,PHI,D/ST,247,15
,patriots,NE,D/ST,248,16
younghoe,koo,ATL,K,249,13
nick,folk,NE,K,250,14
matt,prater,ARI,K,251,15
ryan,succop,TB,K,252,16
daniel,jones,NYG,QB,253,29
jacoby,brissett,CLE,QB,254,30
zach,wilson,NYJ,QB,255,31
geno,smith,SEA,QB,256,32
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
